,title,total_votes,mean_vote
180,Victory,331,6.4
181,Wagon Tracks,152,6.8
182,Quando le nuvole volano via,775,7.0
183,The Wicked Darling,337,6.2
184,Yankee Doodle in Berlin,722,6.4
185,Algol - Tragödie der Macht,138,6.7
186,Anna Bolena,576,6.8
187,April Folly,129,8.4
188,L'atlantide,315,6.9
189,Pagine dal libro di Satana,1083,6.8
190,Dr. Jekyll e Mr. Hyde,4753,7.1
191,Erotikon,717,6.7
192,Fante-Anne,123,6.3
193,The Flapper,291,6.9
194,Il cammino nella notte,308,6.7
195,Genuine,848,6.0
196,Il Golem - Come venne al mondo,6577,7.2
197,Headin' Home,260,5.4
198,L'Hirondelle et la Mésange,165,7.2
199,La giustizia del mare,187,6.9
200,Humoresque,135,6.6
201,L'uomo dal coltello a serramanico,105,6.7
202,Just Pals,332,6.5
203,Der Klosterjäger,113,8.6
204,Klostret i Sendomir,323,7.1
205,Due sorelle,264,6.8
206,The Last of the Mohicans,1102,6.9
207,The Love Expert,142,6.8
208,The Love Flower,105,6.2
209,Il segno di Zorro,2145,7.3
210,Markens grøde,195,6.4
211,Un pulcino nella stoppa,129,6.4
212,Nomads of the North,189,6.2
213,Pollyanna,355,6.7
214,La vedova del pastore,1032,7.2
215,The Restless Sex,149,8.4
216,Romeo e giulietta sulla neve,153,6.8
217,The Round-Up,123,6.1
218,The Saphead,1402,6.2
219,Sex,265,6.6
220,Something to Think About,575,7.9
221,"Die Spinnen, 2. Teil - Das Brillantenschiff",763,6.5
222,Suds,210,6.7
223,Sumurum,625,6.3
224,Terror Island,168,5.8
225,The Toll Gate,191,6.7
226,Von morgens bis mitternachts,425,6.9
227,Das wandernde Bild,356,6.2
228,Agonia sui ghiacci,4961,7.9
229,Why Change Your Wife?,1321,7.9
230,Within Our Gates,2465,6.4
231,The Ace of Hearts,1037,7.0
232,Adventures of Tarzan,101,6.3
233,"Fragilità, sei femmina!",1208,7.8
234,Be My Wife,364,6.9
235,Lo scoiattolo,1025,7.0
236,The Blot,497,6.8
237,Buried Treasure,170,8.2
238,Camille,875,6.7
239,La commedia umana,415,7.0
240,Dream Street,133,5.9
241,Ducks and Drakes,116,7.2
242,Eldorado,362,6.9
243,Enchantment,268,7.9
244,Forbidden Fruit,123,6.8
245,I quattro cavalieri dell'Apocalisse,3058,7.8
246,Amleto,382,7.2
247,Hintertreppe,209,6.8
248,Das indische Grabmal zweiter Teil - Der Tiger von Eschnapur,286,6.9
249,Das indische Grabmal erster Teil - Die Sendung des Yoghi,239,6.7
250,Johan,215,6.8
251,Il monello,109038,8.2
252,Il carrettiere della morte,10054,7.9
253,Leap Year,268,6.3
254,Little Lord Fauntleroy,276,7.0
255,The Love Light,338,6.8
256,Miss Lulu Bett,311,7.0
257,My Boy,237,6.2
258,Destino,5136,7.4
259,The Nut,209,6.6
260,Le due orfanelle,4678,7.8
261,Outside the Law,469,6.7
262,Rojô no reikion,130,6.7
263,A Sailor-Made Man,941,7.0
264,Sappho,123,6.8
265,Scherben,217,6.5
266,Il castello di Vogelod,1391,6.3
267,Lo sceicco,3055,7.2
268,The Sky Pilot,109,6.8
269,La terre,135,6.7
270,The Three Musketeers,846,7.0
271,Through the Back Door,163,7.0
272,La pazienza di Davide,1722,7.9
273,Too Wise Wives,133,6.0
274,Vier um die Frau,323,6.3
275,Beauty's Worth,766,7.9
276,L'età di amare,2216,7.7
277,Sangue e arena,1234,7.2
278,La terra che brucia,566,7.0
279,The Bride's Play,255,7.6
280,Crainquebille,340,6.6
281,Der var engang,343,6.6
282,Dr. Jack,1194,7.2
283,Down to the Sea in Ships,336,6.2
284,La femme de nulle part,118,6.6
285,Flesh and Blood,151,6.7
286,Femmine folli,3072,7.1
287,Gli stigmatizzati,360,6.7
288,Il talismano della nonna,1618,7.1
289,The Headless Horseman,225,5.0
290,Lorna Doone,268,7.0
291,The Man from Beyond,226,5.7
292,Manslaughter,415,6.8
293,Donne viennesi,293,6.8
294,Monte Cristo,333,6.9
295,Moran of the Lady Letty,310,6.8
296,Nathan il saggio,115,7.0
297,Nosferatu - Il vampiro,86620,7.9
298,Oliver Twist,706,6.9
299,Othello,233,6.5
300,Fantasma,1528,7.0
301,The Prisoner of Zenda,452,6.9
302,Robin Hood,1971,7.4
303,Salomé,807,6.7
304,Saturday Night,101,6.9
305,Ombre ammonitrici,842,6.9
306,The Seventh Day,101,7.8
307,Shadows,365,6.6
308,Sherlock Holmes,551,6.1
309,Sky High,158,6.0
310,Sodom und Gomorrha,169,6.2
311,Tess of the Storm Country,418,7.3
312,The Three Must-Get-Theres,500,7.0
313,The Toll of the Sea,642,6.8
314,The Trap,118,6.8
315,Trapped by the Mormons,136,6.2
316,Das Weib des Pharao,443,6.6
317,When Knighthood Was in Flower,968,8.2
318,The Young Rajah,366,7.3
319,Das alte Gesetz,119,7.1
320,Ladro d'amore,319,7.3
321,Cuore fedele,1103,7.3
322,I pionieri,505,6.8
323,The Extra Girl,1068,7.8
324,Il vecchio castello,144,7.1
325,La leggenda di Gosta Berlings,1085,7.2
326,Haldane of the Secret Service,114,5.6
327,Il gobbo di Notre Dame,4711,7.3
328,Little Old New York,893,8.2
329,Accidenti che ospitalità!,9902,7.8
330,Il pellegrino,4261,7.4
331,Raskolnikow,253,6.9
332,Rosita,269,6.7
333,La rosa sulle rotaie,1889,7.6
334,Preferisco l'ascensore,17795,8.0
335,Scaramouche,533,7.2
336,Il tesoro,248,6.8
337,The Shock,375,6.9
338,Souls for Sale,826,7.2
339,Die Straße,347,7.1
340,La notte di San Silvestro,134,6.4
341,I dieci comandamenti,1915,6.9
342,"Senti, amore mio",3949,7.1
343,Das Wachsfigurenkabinett,1702,6.8
344,The White Rose,157,7.1
345,La suora bianca,390,7.0
346,White Tiger,117,6.5
347,Perché preoccuparsi?,1532,7.4
348,La donna di Parigi,4735,7.1
349,Zaza,786,8.0
350,Aelita,2303,6.7
351,America,344,6.4
352,Beau Brummel,407,7.0
353,Black Oxen,131,6.1
354,Captain January,208,7.1
355,The Chechahcos,212,6.8
356,Dante's Inferno,105,5.9
357,Dorothy Vernon of Haddon Hall,125,7.0
358,The Enchanted Cottage,611,7.8
359,The Family Secret,119,6.5
360,La fille de l'eau,530,6.8
361,Finanze del granduca,741,6.6
362,La zarina,125,6.5
363,Tutte e nessuna,3024,7.9
364,Quello che prende gli schiaffi,3044,7.7
365,Her Night of Romance,253,7.1
366,Il re degli scapoli,1210,7.3
367,Futurismo,712,7.3
368,Il cavallo d'acciaio,1898,7.3
369,Isn't Life Wonderful,292,7.5
370,Janice Meredith,665,8.3
371,Kean,145,6.7
372,L'ultima risata,12157,7.9
373,Manhandled,973,8.0
374,Matrimonio in quattro,1061,7.4
375,Michael,1540,7.2
376,Monsieur Beaucaire,447,7.8
377,Il navigatore,8853,7.8
378,Le straordinarie avventure di mr. West nel paese dei bolscevichi,865,6.8
379,I Nibelunghi: La vendetta di Crimilde,3860,7.6
380,I Nibelunghi: Sigfrido,5082,7.7
381,Open All Night,104,6.9
382,Orlacs Hände,2263,7.1
383,Papirosnitsa ot Mosselproma,137,6.9
384,Paris qui dort,1541,7.3
385,Peter Pan,881,7.3
386,The Red Lily,415,7.3
387,Romola,164,6.7
388,The Sea Hawk,466,7.3
389,Secrets,220,7.5
390,La palla n° 13,39634,7.9
391,Sciopero,6877,7.5
392,Il ladro di Bagdad,5460,7.8
393,L'ombra bianca,200,6.4
394,Arance selvatiche,430,7.1
395,Il vino della giovinezza,310,8.1
396,Yolanda,121,8.4
397,Le avventure del principe Achmed,5253,7.6
398,La grande parata,6096,8.0
399,Body and Soul,767,6.3
400,Braveheart,177,7.4
401,La corazzata Potemkin,51775,7.8
402,The Circle,491,6.7
403,Clash of the Wolves,243,6.8
404,Cobra,681,7.5
405,Don Q Son of Zorro,415,7.1
406,L'angelo del focolare,1703,7.1
407,Aquila nera,1718,7.2
408,Il fantasma del Moulin Rouge,133,6.4
409,Il fu Mattia Pascal,310,7.1
410,Viva lo sport,4882,7.4
411,La via senza gioia,1348,7.3
412,Furusato no uta,100,6.1
413,La fidanzata di Glomdal,417,6.7
414,Io e la vacca,3710,7.2
415,La febbre dell'oro,97480,8.1
416,The Goose Woman,151,7.0
417,Rapacità,8898,7.7
418,Gribiche,225,6.9
419,Her Sister from Paris,151,7.0
420,El húsar de la muerte,112,6.9
421,Il ventaglio di Lady Windermere,978,7.5
422,Lady of the Night,544,6.4
423,The Lady,125,7.3
424,Lazybones,475,7.5
425,Lights of Old Broadway,448,8.4
426,Little Annie Rooney,877,7.6
427,Il piccolo colonnello,1420,7.2
428,Un mondo perduto,4513,7.1
429,La vedova allegra,2126,8.0
430,The Monster,906,6.4
431,The Mystic,105,6.7
432,Orochi,310,7.1
433,Parisian Love,205,6.2
434,Paths to Paradise,127,7.2
435,Il fantasma dell'opera,16255,7.7
436,The Plastic Age,269,6.3
437,Il labirinto delle passioni,2111,6.1
438,Poil de carotte,190,7.0
439,Prem Sanyas,134,6.8
440,Pretty Ladies,132,3.4
441,The Rag Man,319,7.3
442,The Red Kimona,297,6.6
443,Riders of the Purple Sage,170,6.6
444,The Road to Yesterday,126,6.7
445,Zingaresca,483,6.8
446,"Sally, Irene and Mary",132,4.2
447,The Salvation Hunters,322,6.7
448,Le sette probabilità,8943,7.8
449,She,113,6.2
450,Soul-Fire,112,7.0
451,Die Stadt ohne Juden,219,6.4
452,Stage Struck,831,8.0
453,Stella Dallas,277,7.4
454,Tumbleweeds,538,7.0
455,Il trio infernale,1613,7.3
456,The Vanishing American,288,7.0
457,Varieté,1022,7.5
458,Visages d'enfants,693,7.4
459,Il viaggio immaginario,152,6.9
460,Il mago di Oz,1395,5.4
461,Wolfblood,242,5.9
462,A Woman of the World,123,7.2
463,Zakroyshchik iz Torzhka,111,7.0
464,Zander the Great,609,8.3
465,L'erede dei Grishus,123,6.9
466,Bardelys il magnifico,1050,7.7
467,The Bat,678,6.7
468,Se perdo la pazienza...,2820,7.1
469,Beau Geste,338,7.2
470,The Bells,354,6.6
471,The Better 'Ole,217,6.5
472,Beverly of Graustark,451,8.3
473,Il pirata nero,1656,7.1
474,Il corvo,618,6.9
475,L'aquila azzurra,139,5.6
476,La Bohème,1427,7.9
477,The Boob,438,5.2
478,Brown of Harvard,1402,8.2
479,Brudeferden i Hardanger,117,6.8
480,Dancing Mothers,142,7.0
481,Don Juan,728,7.2
482,Ella Cinders,888,7.9
483,Eve's Leaves,120,7.3
484,Exit Smiling,399,7.2
485,Faust,13588,7.8
486,Le disgrazie di adamo,208,6.6
487,Fine Manners,770,8.0
488,La carne e il diavolo,3901,8.0
489,Il re degli straccioni,1401,7.5
490,Geheimnisse einer Seele,632,6.9
491,The Great K & A Train Robbery,270,6.5
492,Hands Up!,213,7.0
493,La montagna dell'amore,675,6.7
494,His First Flame,127,6.3
495,It's the Old Army Game,245,6.6
496,Kid Boots,130,7.0
497,Kiki,399,7.3
498,Una pagina di follia,2758,7.5
499,Il pensionante,10024,7.4
500,Love 'Em and Leave 'Em,200,7.2
501,Maciste all'inferno,430,6.8
502,The Magician,545,6.8
503,Mantrap,309,7.1
504,Mare Nostrum,315,7.1
505,La madre,2442,7.6
506,Metropolis,156076,8.1
507,Miss Mend,263,7.0
508,My Lady of Whims,101,6.0
509,Namus,109,7.1
510,Nanà,682,6.9
511,Nell Gwyn,227,7.4
512,Old Ironsides,185,6.9
513,Secondo la legge,919,7.3
514,Protsess o tryokh millionakh,127,7.2
515,The Road to Mandalay,150,7.0
516,Der Rosenkavalier,103,6.3
517,La lettera rossa,1542,7.7
518,Il mostro del mare,136,6.7
519,La corsa a ostacoli di Shamrock,126,5.8
520,Shinel,283,6.8
521,The Show-Off,245,7.1
522,La vita è un charleston,317,7.3
523,So's Your Old Man,167,6.7
524,Il figlio dello sceicco,1788,7.4
525,The Sorrows of Satan,206,7.2
526,Passerotti,1148,7.5
527,La grande sparata,766,6.8
528,Der Student von Prag,573,7.2
529,Tartufo,1945,7.2
530,La tentatrice,1066,7.0
531,I tre furfanti,1010,7.5
532,Torrent,691,7.1
533,Di corsa dietro un cuore,604,6.1
534,The Volga Boatman,122,6.8
535,L'allievo di West Point,1722,7.9
536,Gloria,347,7.2
537,Fiore del deserto,690,7.3
538,Almost Human,339,7.4
539,La mandragora,285,6.3
540,Annie Laurie,355,7.5
541,Baby ryazanskie,196,7.2
542,Barbed Wire,186,7.2
543,The Beloved Rogue,701,7.5
544,Café Elektric,106,6.7
545,Captain Salvation,228,7.4
546,Casanova,171,7.1
547,Il castello degli spettri,2654,7.2
548,Chicago,374,7.3
549,I figli del divorzio,213,6.7
550,Tuo per sempre,4268,7.1
551,La ragazza con la cappelliera,599,7.3
552,Il declino,2082,6.2
553,L'atleta innamorato,206,6.9
554,Fragile virtù,2465,5.7
555,The Fair Co-Ed,710,8.1
556,The First Auto,193,6.5
557,The Gaucho,284,7.2
558,Come vinsi la guerra,78769,8.0
559,Get Your Man,162,6.8
560,La glace à trois faces,759,7.1
561,La Felicità,919,7.5
562,Hindle Wakes,237,7.4
563,Hotel Imperial,210,6.9
564,Hula,185,6.7
565,Cosetta,2912,7.5
566,Il cantante di jazz,8866,6.8
567,Le joueur d'échecs,263,7.0
568,Il fratello minore,3747,7.5
569,Il re dei re,1890,7.4
570,La fine di San Pietroburgo,1494,7.4
