,title,total_votes,mean_vote
12778,La lunga notte dell'orrore,4373,6.7
12779,I dominatori della prateria,182,5.4
12780,Playgirl,124,6.6
12781,Ceneri sulla grande armata,302,7.1
12782,Il papavero è anche un fiore,781,6.2
12783,Prawo i piesc,285,7.3
12784,The Bounty Killer,487,6.6
12785,Press for Time,470,6.3
12786,I professionisti,13697,7.4
12787,Spogliarello per una vedova,477,5.6
12788,Il lungo coltello di Londra,1100,5.5
12789,La bambola di cera,731,6.1
12790,Shokei no shima,174,7.1
12791,Le père Noël a les yeux bleus,375,7.0
12792,Queen of Blood,1593,5.4
12793,"Qui êtes-vous, Polly Maggoo?",1001,7.1
12794,Quiller Memorandum,3341,6.6
12795,48 ore per non morire,351,6.6
12796,Rancho bravo,3127,6.5
12797,"Suzanne Simonin, la religiosa di Diderot",2277,7.5
12798,La morte arriva strisciando,3096,6.3
12799,Il ritorno dei magnifici sette,3687,5.6
12800,El Tigre,533,6.5
12801,Ringo del Nebraska,173,5.9
12802,Il ritorno di Ringo,1365,6.9
12803,Tutti pazzi meno io,3541,7.8
12804,Romance pro kridlovku,210,7.3
12805,Romeo and Juliet,143,7.2
12806,Rondo,479,8.4
12807,"Arrivano i Russi, arrivano i Russi",7828,7.2
12808,009 Joe Tempesta,114,6.4
12809,Quelli della San Pablo,13221,7.7
12810,The Sandwich Man,309,6.1
12811,Santo el Enmascarado de Plata vs 'La invasión de los marcianos',295,5.7
12812,El Cjorro,289,5.9
12813,Le scandale - Delitti e champagne,620,6.0
12814,A Scream in the Streets,233,4.9
12815,Operazione diabolica,16037,7.7
12816,New York chiama Superdrago,863,2.4
12817,Le margheritine,9699,7.5
12818,Shanty Tramp,316,6.0
12819,7 dollari sul rosso,271,5.8
12820,Matt Helm il silenziatore,2595,6.2
12821,Dominique,1130,6.3
12822,Skvernyy anekdot,140,7.4
12823,Slå først Frede!,684,6.4
12824,Fumo di Londra,231,6.1
12825,Smoky,189,7.0
12826,Il più grande colpo del secolo,420,6.3
12827,La Sorella di Satana,1012,4.7
12828,"Spara forte, più forte... non capisco!",102,5.3
12829,Le spie vengono dal semifreddo,1091,4.3
12830,Voglio sposarle tutte,1663,6.0
12831,La traccia delle pietre,803,7.8
12832,La spia dal cappello verde,330,6.2
12833,La spia dal naso freddo,111,6.2
12834,I 9 di Dryfork City,1523,6.2
12835,Starshaya sestra,176,7.3
12836,Happy End,998,8.0
12837,Stop the World: I Want to Get Off,134,5.8
12838,La strega in amore,259,6.4
12839,Le streghe,1319,6.3
12840,Su excelencia,523,7.4
12841,Sugar Colt,350,6.4
12842,Fame,2751,7.9
12843,Superseven chiama Cairo,103,5.4
12844,Suraj,117,7.1
12845,"Surcouf, l'eroe dei sette mari",109,5.9
12846,Svegliati e uccidi,268,6.4
12847,La ragazza yè yè,394,5.9
12848,Il letto della sorella,437,7.2
12849,Szyfry,145,7.0
12850,Cheyenne il figlio del serpente,321,6.3
12851,Embrione,778,7.8
12852,Take Me Naked,134,5.2
12853,Tarzan nella valle dell'oro,471,6.2
12854,Tatsu no ko Tarô,744,7.6
12855,Teenage Gang Debs,148,5.8
12856,Teenage Mother,109,5.6
12857,Teesri Kasam,700,8.2
12858,Teesri Manzil,1074,7.7
12859,Le colt cantarono la morte e fu... tempo di massacro,1540,6.7
12860,Dieci piccoli indiani,4024,6.8
12861,Un avventuriero a Tahiti,295,5.9
12862,Texas oltre il fiume,1328,6.7
12863,Ringo il Texano,653,6.0
12864,Oi voskoi,198,7.5
12865,Sua maestà non concilia,542,6.0
12866,Sono strana gente,782,6.8
12867,Questa ragazza è di tutti,5118,7.2
12868,3 sul divano,937,6.2
12869,Thunderbirds: i cavalieri dello spazio,1992,6.7
12870,La tigre profumata alla dinamite,152,4.5
12871,Tjorven och Mysak,494,6.3
12872,Spionaggio a Washington,430,6.2
12873,Il grande colpo di Surcouf,103,6.1
12874,Il sipario strappato,24102,6.7
12875,Trans-Europ-Express,1466,7.1
12876,I pionieri dell'ultima frontiera,1744,8.1
12877,Tri tolstyaka,354,7.1
12878,Guai con gli angeli,4251,7.7
12879,Commandos in azione,156,5.8
12880,La grande sfida a Scotland Yard,319,5.9
12881,Uccellacci e uccellini,4127,7.4
12882,4 bassotti per 1 danese,3445,6.9
12883,Ukamau,178,7.2
12884,"Un uomo, una donna",9465,7.7
12885,The Undertaker and His Pals,854,5.2
12886,Gli uomini dal passo pesante,171,6.0
12887,Utószezon,122,7.4
12888,Viva Gringo,163,5.7
12889,La vita agra,279,7.2
12890,L'incendio di Mosca,1058,8.2
12891,La voleuse,130,6.7
12892,Destinazione marciapiede,122,6.5
12893,Vrah skrývá tvár,144,7.2
12894,Waco una pistola infallibile,262,5.8
12895,"Cammina, non correre",3713,6.9
12896,Stazione luna,925,5.7
12897,"Papà, Ma che cosa hai fatto in guerra?",1686,6.9
12898,"Che fai, rubi?",8999,6.1
12899,Bisbigli,1055,7.2
12900,The White Bus,424,6.6
12901,Chi ha paura di Virginia Woolf?,67817,7.9
12902,I selvaggi,2584,5.8
12903,The Wild World of Batwoman,4235,3.3
12904,Krylya,1593,7.7
12905,Il giorno più lungo di Kansas City,1288,5.7
12906,Tempesta alla frontiera,1011,5.4
12907,Le donne del pianeta preistorico,952,2.7
12908,La cassa sbagliata,3186,7.1
12909,Yngsjömordet,126,6.7
12910,Yotsuya kaidan,234,6.7
12911,"Buttati, Bernardo!",1411,6.3
12912,"Dio, come ti amo!",129,6.9
12913,Åsa-Nisse i raketform,118,3.7
12914,"10,000 dollari per un massacro",443,6.5
12915,A ciascuno il suo,1214,7.1
12916,Operazione San Pietro,218,5.1
12917,L'incidente,3762,7.0
12918,The Acid Eaters,212,4.1
12919,Un maggiordomo nel Far West,737,6.8
12920,Cowboy in Africa,186,6.1
12921,Agente speciale L.K.,143,6.1
12922,Alexandre... un uomo felice,1900,7.6
12923,All the Sins of Sodom,221,6.2
12924,El amor brujo,137,7.6
12925,Angelica e il gran sultano,1275,6.8
12926,Anna Karenina,840,7.3
12927,Arabella,111,5.6
12928,Asterix il gallico,9529,6.6
12929,Autopsia de un fantasma,103,5.3
12930,I tre avventurieri,2830,7.5
12931,L'avventuriero,406,7.7
12932,La donna del West,810,6.0
12933,Ballata per un pistolero,120,6.0
12934,Il club degli intrighi,218,6.1
12935,A piedi nudi nel parco,16392,7.1
12936,Battle Beneath the Earth,605,4.7
12937,Spiaggia rossa,1240,6.4
12938,Il mio amico il diavolo,8218,7.2
12939,Bella di giorno,39161,7.7
12940,Bersaglio mobile,130,6.0
12941,Il cerchio di sangue,1773,5.4
12942,Il ciarlatano,952,5.9
12943,Bill il taciturno,222,5.3
12944,Il cervello da un miliardo di dollari,4663,6.1
12945,Blast-Off Girls,247,5.2
12946,L'artiglio blu,605,6.0
12947,Il mostro di sangue,1275,5.2
12948,Il castello di Dracula,938,3.9
12949,Il magnifico Bobo,714,6.0
12950,Gangster Story,100275,7.8
12951,Violence,2130,6.2
12952,Brighty of the Grand Canyon,113,6.4
12953,Budjenje pacova,330,7.8
12954,Quién sabe?,3893,7.2
12955,Un vestito per un cadavere,282,5.9
12956,"Küss mich, Monster",462,4.2
12957,C'era una volta,1158,7.0
12958,Camelot,5832,6.8
12959,Intrigo a Cape Town,366,4.7
12960,Caprice la cenere che scotta,1196,5.9
12961,Carmen Baby,160,5.9
12962,Carry On Doctor,3304,6.6
12963,Le false vergini,375,5.1
12964,James Bond 007 - Casino Royale,26559,5.3
12965,"Rote Lippen, Sadisterotica",433,5.4
12966,Catalina Caper,1788,2.4
12967,Per il gusto di uccidere,241,6.0
12968,Chelsea Girls,1179,6.4
12969,La cinese,5979,7.2
12970,Chiriyakhana,748,7.5
12971,Vivere da vigliacchi morire da eroi,809,6.4
12972,La Cina è vicina,333,6.8
12973,Miliardario... ma bagnino,2334,5.8
12974,Col cuore in gola,483,5.9
12975,El coleccionista de cadáveres,345,4.2
12976,La collezionista,6208,7.5
12977,...e venne l'ora della vendetta,640,4.3
12978,Come rubare la corona d'Inghilterra,370,4.9
12979,I commedianti,1804,6.6
12980,How Much Loving Does a Normal Couple Need?,610,5.2
12981,Nick mano fredda,158422,8.1
12982,The Cool Ones,265,5.1
12983,Uno sconosciuto in casa,151,6.0
12984,L'assassino ha le ore contate,127,5.4
12985,L'ossessione del mostro,1031,5.9
12986,Cottonpickin' Chickenpickers,108,4.6
12987,La contessa di Hong Kong,5492,6.2
12988,L'uomo che uccise il suo carnefice,232,6.3
12989,Creature of Destruction,308,4.0
12990,Silenzio e grido,594,7.0
12991,L'armata a cavallo,3124,7.7
12992,"Ringo, il volto della vendetta",178,6.1
12993,Da ci ke,166,6.8
12994,Yongary il più grande mostro,1372,4.2
12995,Gappa il mostro che minaccia il mondo,1303,4.4
12996,Il giorno in cui i pesci uscirono dal mare,523,5.8
12997,Chiamata per il morto,3021,6.8
12998,Il mistero dell'isola dei gabbiani,1696,3.8
12999,Indecent Desires,197,5.4
13000,El desperado,283,6.6
13001,Facce senza Dio,354,5.2
13002,Diabolicamente tua,956,6.5
13003,Joe l'implacabile,103,5.1
13004,Dio li crea... Io li ammazzo!,138,5.9
13005,Dio non paga il sabato,146,6.2
13006,Dio perdona... Io no!,3931,6.5
13007,Quella sporca dozzina,65739,7.8
13008,Divorzio all'americana,1419,6.3
13009,Django spara per primo,339,6.0
13010,Il favoloso dottor Dolittle,8372,6.4
13011,Il mondo è pieno... di papà,389,5.7
13012,Navajo Joe,3493,6.4
13013,"Piano, piano non t'agitare!",1373,6.2
13014,"Non alzare il ponte, abbassa il fiume",529,4.9
13015,Doomsday Machine,951,2.8
13016,Doppio bersaglio,892,6.1
13017,"Fermi tutti, cominciamo daccapo!",1257,5.5
13018,Mantieni l'odio per la tua vendetta,2760,7.5
13019,Due marines e un generale,174,5.5
13020,Il vergine,652,6.8
13021,"3 fusti, 2 bambole e... 1 tesoro",1332,5.5
13022,Eat Your Makeup,112,7.1
13023,Edipo Re,4996,7.4
13024,Otto in fuga,486,5.8
13025,El Dorado,23649,7.7
13026,Elvira Madigan,2561,7.4
13027,Enter Laughing,540,6.7
13028,Entre la mer et l'eau douce,278,7.1
13029,El extraño viaje,1055,7.9
13030,Cerimonia per un delitto,2092,6.3
13031,Faccia a faccia,2569,7.3
13032,Il paese incantato,4873,7.1
13033,I fantastici 3 $upermen,188,6.1
13034,Agli ordini del fuhrer e al servizio di sua maestà,2222,6.5
13035,Via dalla pazza folla,5090,7.3
13036,The Fastest Guitar Alive,370,4.8
13037,Fathom: bella intrepida e spia,1374,5.9
13038,Fearless Frank,237,4.6
13039,"Per favore, non mordermi sul collo!",28913,7.3
13040,La feldmarescialla,181,5.3
13041,L'organizzazione ringrazia firmato il Santo,431,6.1
13042,Il figlio di Django,120,5.6
13043,Non c'è posto per i vigliacchi,271,6.0
13044,Il fischio al naso,147,6.6
13045,Ladri sprint,1234,6.9
13046,I cinque draghi d'oro,335,5.1
13047,Five the Hard Way,1718,2.1
13048,Honô to onna,177,7.1
13049,Follow That Camel,2098,6.2
13050,La maledizione dei Frankenstein,4182,6.7
13051,Attentato ai tre grandi,310,5.3
13052,Gamera contro il mostro Gaos,1707,5.0
13053,Assassinio al terzo piano,1101,6.8
13054,Il gigante buono,156,6.3
13055,Il giardino delle delizie,170,6.9
13056,I giorni dell'ira,3968,7.2
13057,I giorni della violenza,124,6.1
13058,Anime nere,415,5.3
13059,The Gnome-Mobile,1931,6.8
13060,Good Morning... and Goodbye!,479,5.8
13061,Good Times,515,5.2
13062,Il laureato,249910,8.0
13063,Il grande colpo dei 7 uomini d'oro,145,6.1
13064,Chi ha rubato il presidente?,4931,6.9
13065,Femmina,148,5.6
13066,The Gruesome Twosome,887,5.4
13067,Indovina chi viene a cena?,38349,7.8
13068,Una guida per l'uomo sposato,2379,6.9
13069,Sparatorie ad Abilene,362,5.9
13070,Peter Gunn: 24 ore per l'assassino,366,6.5
13071,Lo squattrinato,632,6.7
13072,Hamraaz,346,7.3
13073,Impiccalo più in alto,34306,7.1
13074,Cominciò per gioco...,666,6.0
13075,Il più felice dei miliardari,1747,7.1
13076,Hasta el viento tiene miedo,1271,7.7
13077,"Nanami, First Love",716,8.1
13078,Die Heiden von Kummerow und ihre lustigen Streiche,145,7.2
13079,Heißer Sommer,265,6.3
13080,Hell on Wheels,118,4.2
13081,Angeli dell'inferno sulle ruote,2115,5.3
13082,The Hellcats,1536,2.4
13083,Herostratus,341,7.1
13084,Herrliche Zeiten im Spessart,163,4.8
13085,Hillbillys in a Haunted House,1011,2.9
13086,Hombre,10945,7.5
13087,Per pochi dollari ancora,312,6.6
13088,Masquerade,2075,7.0
13089,Al fuoco pompieri!,9135,7.6
13090,The Hostage,146,5.4
13091,Agguato nel sole,186,5.6
13092,52 miglia di terrore,872,5.6
13093,Hot Thrills and Warm Chills,180,4.3
13094,Intrighi al Grand Hotel,1141,6.8
13095,L'ora delle pistole,3410,6.8
13096,Come ho vinto la guerra,2160,6.1
13097,Come far carriera senza lavorare,4102,7.4
13098,Ugo e Josefin,353,6.6
13099,Giallo cobra,452,6.4
13100,E venne la notte,1013,5.8
13101,Il sigillo di Pechino,127,5.7
13102,Il complesso del sesso,942,7.5
13103,Ich war neunzehn,833,7.7
13104,Il teschio di Londra,370,6.2
13105,Im Schloß der blutigen Begierde,213,4.7
13106,L'immorale,151,6.7
13107,A sangue freddo,23483,7.8
13108,A noi piace Flint,5053,6.3
13109,La calda notte dell'ispettore Tibbs,65862,7.9
13110,New York: ore tre - L'ora dei vigliacchi,3103,7.8
13111,L'indomabile Angelica,1248,6.9
13112,Island of the Lost,121,4.3
13113,It!,950,5.7
13114,It's a Bikini World,325,5.0
13115,Un italiano in America,137,6.3
13116,Addio Lara,108,5.9
13117,La gang dei diamanti,263,5.4
13118,6 pallottole per 6 carogne,247,5.6
13119,"Inga, io ho voglia...",251,5.9
13120,Io sono curiosa,3463,6.2
13121,Gioco di massacro,230,6.5
13122,Jewel Thief,1666,8.0
13123,Johnny Yuma,365,6.4
13124,L'ultimo samurai,10317,8.3
13125,Viaggio al centro del tempo,627,3.9
13126,Jowita,222,7.2
13127,Il libro della giungla,162375,7.7
13128,Jutro l'alba di un giorno,141,7.3
13129,Kad budem mrtav i beo,1034,8.3
13130,Il figlio di Godzilla,3846,5.5
13131,Gli assassini del karatè,505,5.1
13132,"Killer, adios",103,6.1
13133,Killer calibro 32,207,6.0
13134,Il pirata del re,171,6.3
13135,King Kong - Il gigante della foresta,2203,5.8
13136,Kiss Kiss... Bang Bang,120,6.3
13137,La commissaria,1346,7.7
13138,Strategic command chiama Jo Walker,108,5.9
13139,Fine agosto all'Hotel Ozon,521,6.7
13140,A koppányi aga testamentuma,236,7.3
13141,La farfalla sul mirino,7745,7.4
13142,Korotkie vstrechi,687,7.6
13143,Gli anni di Cristo,184,6.8
13144,Largo Viaje,195,7.7
13145,Las que tienen que servir,130,5.2
13146,Sfida oltre il fiume rosso,900,6.2
13147,L'ultimo safari,214,5.7
13148,Libido,241,6.8
13149,Un affare di cuore,1492,7.5
13150,Il lungo duello,526,6.0
13151,La lunga fuga,182,7.5
13152,The Love-Ins,193,4.5
13153,Luv vuol dire amore?,460,5.6
13154,Mad Monster Party?,2800,6.9
13155,Madamigella di Maupin,137,6.3
13156,Made in Italy,233,6.8
13157,The Magnificent Two,310,5.4
13158,Matrimonio di convenienza,122,6.0
13159,Il marchio di Kriminal,109,5.8
13160,Marie pour mémoire,100,6.1
13161,La sposa in nero,8161,7.3
13162,Dossier Marocco 7,170,4.9
13163,Martha,836,7.6
13164,L'ereditiera di Singapore,147,6.8
13165,Nubi sparse,855,7.9
13166,Mig og min lillebror,289,5.9
13167,Milan,146,7.0
13168,Le labbra proibite di Sumuru,823,3.8
13169,Un millón en la basura,135,7.2
13170,Min søsters børn på bryllupsrejse,273,6.2
13171,Mini-Skirt Love,100,5.1
13172,Il mio corpo per un poker,198,5.5
13173,Muori lentamente... te la godi di più,156,3.5
13174,Scimmie tornatevene a casa!,434,6.1
13175,Vivi ma non uccidere,168,6.3
13176,La morte ha fatto l'uovo,1141,6.1
13177,La morte non conta i dollari,143,6.0
13178,Mouchette: Tutta la vita in una notte,9928,7.7
13179,Il sudario della mummia,1719,5.7
13180,Muri shinjû: Nihon no natsu,634,6.9
13181,Giochi sulla pelle,244,6.0
13182,My Hustler,260,6.4
13183,Il fantasma di Londra,647,6.0
13184,Il club degli assassini,114,5.7
13185,Nachalo nevedomogo veka,201,7.1
13186,Colpo su colpo,416,6.2
13187,Delirium,962,5.7
13188,Il raggio infernale,638,2.8
13189,Night Fright,720,2.8
13190,Demoni di fuoco,1580,5.7
13191,Nihon no ichiban nagai hi,663,7.7
13192,Nihon shunka-kô,651,6.7
13193,Cronache delle imprese dei ninja,164,6.3
13194,Wanted,320,6.3
13195,Noc nevesty,114,7.2
13196,Noz,115,7.2
13197,The Nude Restaurant,142,5.9
13198,Onkel Joakims hemmelighed,200,6.6
13199,Ah Güzel Istanbul,1724,7.2
13200,Odio per odio,120,6.0
13201,"Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' So Sad",240,5.1
13202,Angeli violati,1398,8.3
13203,OK Connery,1170,3.6
13204,Operazione San Gennaro,1122,7.2
13205,Se sei vivo spara,2292,6.6
13206,Io due figlie tre valigie,5795,7.7
13207,Tutte le sere alle nove,1620,7.6
13208,La fredda alba del commissario Joss,1131,6.8
13209,Panico nella città,115,5.5
13210,Niente rose per OSS 117,210,5.5
13211,Pedro Páramo,273,7.3
13212,Un attico sopra l'inferno,196,6.3
13213,Peppermint Frappé,1188,7.3
13214,Per 100.000 dollari t'ammazzo,222,6.7
13215,I pericoli di Paolina,251,6.3
13216,Si salvi chi può,3597,6.8
13217,Las pirañas,107,6.0
13218,La più grande rapina del west,135,5.8
13219,Placer sangriento,140,4.4
13220,The Plank,1125,7.1
13221,Play Time - Tempo di divertimento,18716,7.9
13222,L'amore attraverso i secoli,386,5.7
13223,Senza un attimo di tregua,17950,7.4
13224,Poor Cow,1352,6.9
13225,Femmine delle caverne,990,4.8
13226,Preparati la bara!,2292,6.6
13227,La folle impresa del dottor Schaefer,2958,7.2
13228,Privilege,1033,7.1
13229,Professionisti per un massacro,243,5.8
13230,Laser X: operazione uomo,849,3.5
13231,I ragazzi della via Paal,2474,8.1
13232,Pähkähullu Suomi,386,6.8
13233,L'astronave degli esseri perduti,9094,7.2
13234,La ragazza e il generale,191,6.4
13235,Ram Aur Shyam,833,7.4
13236,L'invincibile Superman,261,5.0
13237,Mani in alto!,296,6.8
13238,Riflessi in un occhio d'oro,6295,6.9
13239,La galleria degli orrori,509,3.5
13240,Il ritorno del pistolero,511,6.5
13241,Il bandito nero,164,5.3
13242,La ragazza dalla calda pelle,388,5.2
13243,Attentato al pudore,456,7.1
13244,Little Rita nel West,508,4.8
13245,Rapina al treno postale,1098,7.0
13246,El romance del Aniceto y la Francisca,303,7.6
13247,Due stelle nella polvere,1080,6.6
13248,Il marinaio del Gibilterra,283,6.7
13249,Sami swoi,3126,7.9
13250,Frank Costello faccia d'angelo,43943,8.0
13251,Il sangue delle vergini,248,4.9
13252,Satsujin kyôjidai,226,7.2
13253,La tredicesima vergine,1293,6.2
13254,"Scusi, lei è favorevole o contrario?",171,6.1
13255,Sedmoy sputnik,418,7.5
13256,7 donne per i Mac Gregor,100,5.7
13257,She Freak,627,3.6
13258,La sparatoria,4346,6.6
13259,La porta sbarrata,1575,6.9
13260,Signore & signori,1285,7.7
13261,"Skrållan, Ruskprick och Knorrhane",716,6.5
13262,Ho incontrato anche zingari felici,1978,8.1
13263,Slap af Frede!,511,6.1
13264,Ci divertiamo da matti,431,6.5
13265,Soleil Ô,198,7.2
13266,Something Weird,657,5.4
13267,La corsa pazza di Sorella Sprint,260,5.4
13268,Il killer di Satana,1699,6.4
13269,I sovversivi,166,6.2
13270,Il fantasma ci sta,392,6.4
13271,Il massacro del giorno di San Valentino,3579,6.8
13272,Stimulantia,186,6.1
13273,Lo straniero,2215,7.4
13274,Suburban Roulette,128,5.7
13275,Superargo contro Diabolikus,295,5.2
13276,L'estate arida,3782,7.8
13277,Svadba v Malinovke,1160,7.6
13278,Tammy and the Millionaire,164,6.9
13279,Tanulmány a nökröl,100,7.4
13280,Tarzan e il grande fiume,334,5.6
13281,A Taste of Blood,500,5.1
13282,Tecnica di un omicidio,107,6.4
13283,Il tempo degli avvoltoi,221,6.2
13284,Terra in trance,2562,7.6
13285,The Terrornauts,407,5.3
13286,Testa di sbarco per otto implacabili,233,5.1
13287,Il teatro della morte,640,5.8
13288,La morte scarlatta viene dallo spazio,1366,4.6
13289,Millie,5836,7.2
13290,Quei fantastici pazzi volanti,665,5.4
13291,Thunder Alley,228,5.6
13292,Théâtre de Monsieur & Madame Kabal,185,6.6
13293,The Tiger Makes Out,257,6.2
13294,Il tigre,313,6.5
13295,Assalto finale,745,5.6
13296,La scuola della violenza,15321,7.8
13297,Tobruk,2789,6.5
13298,L'investigatore,2262,6.6
13299,Il giardino delle torture,2365,6.3
13300,The Touch of Her Flesh,256,5.9
13301,Un treno per Durango,207,6.2
13302,Tri topolya na Plyushchikhe,888,8.0
13303,Il serpente di fuoco,4325,6.3
13304,Due per la strada,11933,7.6
13305,Odissea sulla Terra,1091,5.1
13306,I ragazzi del capitano Nemo,525,7.5
13307,L'ultimo killer,280,6.3
13308,Ulysses,787,6.7
13309,Il 13º uomo,510,7.1
13310,"L'uomo, l'orgoglio, la vendetta",542,6.1
13311,Su per la discesa,1835,7.5
13312,Up the Junction,674,7.2
13313,V ogne broda net,355,7.8
13314,Vado... l'ammazzo e torno,629,6.1
13315,Suspense a Venezia,379,5.6
13316,La venganza del sexo,435,5.2
13317,Venus in Furs,102,5.1
13318,La regina dei Vikinghi,799,5.2
13319,La 25ª ora,1673,7.9
13320,Le viol du vampire,995,5.7
13321,Vivere per vivere,489,6.7
13322,Viy,5596,7.5
13323,Voyna i mir III: 1812 god,1053,8.4
13324,Voyna i mir IV: Pierre Bezukhov,965,8.2
13325,Il ladro di Parigi,1602,7.0
13326,Gates to Paradise,173,6.5
13327,L'avvoltoio,285,4.4
13328,The Wacky World of Mother Goose,163,5.5
13329,Gli occhi della notte,27135,7.9
13330,Carovana di fuoco,8576,7.0
13331,Agente 4K2 chiede aiuto,554,6.9
13332,La vecchia legge del West,1252,6.5
13333,La via del West,2404,6.3
13334,Week End - Una donna e un uomo da sabato a domenica,12854,7.2
13335,Tempo di terrore,1328,6.0
13336,Wenn Ludwig ins Manöver zieht,133,4.7
13337,Wehrmacht ora zero,421,7.2
13338,"8 falsari, una ragazza e... un cane onesto",934,7.3
13339,Il credo della violenza,840,2.4
13340,Sette volte donna,1348,6.1
13341,Ego zvali Robert,128,6.8
13342,Agente 007 - Si vive solo due volte,95485,7.0
13343,Angeli nell'inferno,115,6.1
13344,Zatôichi rôyaburi,1015,7.2
13345,Al-zawja al-thaniya,668,7.9
13346,"Zhenya, Zhenechka i 'Katyusha'",449,7.8
13347,Zhurnalist,125,7.4
13348,Zur Sache Schätzchen,478,7.0
13349,Zywot Mateusza,369,7.2
13350,¿Qué hacemos con los hijos?,129,5.5
13351,"Io, l'amore",219,5.7
13352,E per tetto un cielo di stelle,443,6.1
13353,Le svedesi si confessano e...,106,4.6
13354,2001: Odissea nello spazio,587866,8.1
13355,"30 Is a Dangerous Age, Cynthia",176,5.7
13356,Poker di sangue,3344,6.7
13357,Un uomo da abbattere,119,6.4
13358,Ad ogni costo,996,7.1
13359,Ad uno ad uno... spietatamente,108,5.4
13360,Due sporche carogne - Tecnica per una rapina,2841,7.2
13361,Aadmi,192,7.1
13362,Al di là della legge,1095,6.4
13363,All Neat in Black Stockings,194,5.4
13364,All'ultimo sangue,125,5.7
13365,Amanti,603,5.9
13366,L'imboscata,1637,5.5
13367,Ammazzali tutti e torna solo,530,6.5
13368,L'amour fou,558,7.7
13369,Anche nel west c'era una volta Dio,232,5.4
13370,Madcaps il fronte della violenza,259,5.2
13371,L'anniversario,2175,7.2
13372,Lo sbarco di Anzio,2939,6.1
13373,"Colpi di dadi, colpi di pistola",239,5.1
13374,Arrriva Dorellik,146,6.2
13375,Artisti sotto la tenda del circo: perplessi,355,6.8
13376,Asfalttilampaat,195,6.1
13377,Omicidio per vocazione,222,5.9
13378,Superspia K,178,5.7
13379,Mandato di uccidere,288,6.1
13380,Asterix e Cleopatra,11549,7.3
13381,Attacco alla Costa di Ferro,579,5.6
13382,O Ritual dos Sádicos,1048,6.3
13383,La pelle giovane,464,5.9
13384,Baci rubati,11806,7.8
13385,Balul de sîmbata seara,102,7.4
13386,La cortina di bambù,360,5.9
13387,Bandidos,582,6.7
13388,Banditi a Milano,630,7.3
13389,Bandolero!,4422,6.7
13390,Barbarella,31597,6.0
13391,I bastardi,306,6.1
13392,I cannoni di San Sebastian,1826,7.0
13393,La battaglia di El Alamein,548,5.6
13394,Un bellissimo novembre,267,6.3
13395,Benjamin ovvero le avventure di un adolescente,527,6.8
13396,Les biches - Le cerbiatte,2952,7.1
13397,The Big Snatch,142,5.5
13398,Colpo grosso alla napoletana,484,5.5
13399,Festa di compleanno,712,6.7
13400,Black Jack - Un uomo per 5 vendette,219,6.4
13401,Il fantasma del pirata Barbanera,5083,7.1
13402,La ruota di scorta della signora Blossom,514,6.2
13403,The Blood of Fu Manchu,1070,4.7
13404,Due occhi di ghiaccio,457,6.2
13405,Blue Movie,307,5.7
13406,The Bofors Gun,246,6.8
13407,La scogliera dei desideri,1321,5.9
13408,Lo strangolatore di Boston,8160,7.1
13409,I fratelli Karamazov,632,7.6
13410,Terrore sull'isola dell'amore,743,5.2
13411,Crociera di lusso per un matto,12923,8.4
13412,La fratellanza,775,6.1
13413,Buckskin,136,5.4
13414,Bullitt,59535,7.5
13415,"Buonasera, signora Campbell",1382,7.0
13416,Bye Bye Braverman,564,6.1
13417,Bübchen,199,7.0
13418,Candy e il suo pazzo mondo,2636,5.7
13419,Capriccio all'italiana,452,6.9
13420,Carry On... Up the Khyber,4382,7.0
13421,Un certo giorno,133,7.1
13422,Mille frecce per il re,467,5.8
13423,La chamade,685,6.6
13424,I seicento di Balaklava,2999,6.8
13425,L'errore di vivere,608,6.6
13426,"Giannino, il coguaro solitario",778,7.1
13427,I due mondi di Charly,6108,7.2
13428,Citty citty bang bang,40116,7.1
13429,Cronaca di Anna Magdalena Bach,1293,7.0
13430,La tigre in corpo,153,5.9
13431,5 per l'inferno,516,5.2
13432,Sumuru regina di Femina,855,4.6
13433,La colonna di Traiano,599,8.2
13434,Commandos,608,5.7
13435,The Committee,175,6.5
13436,L'uomo dalla cravatta di cuoio,15324,6.5
13437,Corri uomo corri,1560,7.0
13438,Conto alla rovescia,1930,6.0
13439,Sinfonia di guerra,659,6.5
13440,La corsa del secolo,335,6.0
13441,Black Horror - Le messe nere,1934,5.7
13442,Las crueles,152,6.5
13443,Custer eroe del West,1258,5.8
13444,I vizi proibiti delle giovani Svedesi,287,5.3
13445,Burai yori daikanbu,217,7.0
13446,Daimajin,1152,6.9
13447,Daimajin gyakushû,509,6.5
13448,Daimajin ikaru,547,6.6
13449,Dalle Ardenne all'inferno,176,5.0
13450,Sull'orlo della paura,819,6.3
13451,La mano che uccide,304,5.7
13452,Diabolik,5713,6.5
13453,Buio oltre il sole,2564,7.0
13454,David Holzman's Diary,1450,6.8
13455,L'ultimo colpo in canna,1129,6.6
13456,Passo falso,743,5.9
13457,Justine ovvero le disavventure della virtù,1501,5.4
13458,Le disavventure di un guardone,103,5.9
13459,Josephine,8093,7.7
13460,Los desafíos,111,6.1
13461,The Destructors,100,4.9
13462,Inchiesta pericolosa,2842,6.5
13463,Detektive,107,6.7
13464,The Devil Rides Out,7659,7.1
